ANO,DEPARTAMENTO,POBLACION_5_16,TASA_MATRICULACION_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICION,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,DESERCION,DESERCION_TRANSICION,DESERCION_PRIMARIA,DESERCION_SECUNDARIA,DESERCION_MEDIA,APROBACION,APROBACION_TRANSICION,APROBACION_PRIMARIA,APROBACION_SECUNDARIA,APROBACION_MEDIA,REPROBACION,REPROBACION_TRANSICION,REPROBACION_PRIMARIA,REPROBACION_SECUNDARIA,REPROBACION_MEDIA,REPITENCIA,REPITENCIA_TRANSICION,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA,GRUPO_COBERTURA_PIMARIA,GRUPO_COBERTURA_SECUNDARIA,GRUPO_COBERTURA_MEDIA,GRUPO_DESERCION_PRIMARIA,GRUPO_DESERCION_SECUNDARIA,GRUPO_DESERCION_MEDIA,GRUPO_REPROBACION_PRIMARIA,GRUPO_REPROBACION_SECUNDARIA,GRUPO_REPROBACION_MEDIA,GRUPO_APROBACION_PRIMARIA,GRUPO_APROBACION_SECUNDARIA,GRUPO_APROBACION_MEDIA
2015,ANTIOQUIA,1262800,89.92,89.79,61.07,89.02,74.17,42.61,3.82,2.86,2.97,5.55,2.8,89.34,96.94,91.59,83.89,91.56,6.84,0.2,5.44,10.56,5.64,2.83,0.17,2.26,4.55,1.95,"(84.98, 91.19]","(71.45, 76.16]","(39.63, 44.75]","(2.32, 3.14]","(4.73, 6.39]","(2.5, 3.24]","(3.44, 5.62]","(9.89, 23.19]","(4.4, 5.81]","(91.13, 92.98]","(65.649, 84.42]","(90.37, 92.34]"
2015,ATLANTICO,520783,86.17,85.92,53.52,82.12,74.28,45.61,1.39,1.74,1.29,1.57,1.0,95.19,97.2,95.8,93.48,96.78,3.42,1.06,2.9,4.96,2.22,1.69,1.2,1.38,2.42,1.06,"(76.77, 84.98]","(71.45, 76.16]","(44.75, 59.33]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(2.54, 6.72]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2015,BOGOTA DC,1455309,82.2,81.77,59.17,78.94,74.89,50.61,3.63,3.48,2.72,4.85,3.2,96.29,96.51,97.25,95.02,96.57,0.09,0.0,0.03,0.12,0.23,9.91,1.05,6.49,16.02,7.94,"(76.77, 84.98]","(71.45, 76.16]","(44.75, 59.33]","(2.32, 3.14]","(4.73, 6.39]","(2.5, 3.24]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2015,BOLIVAR,488886,88.78,88.69,58.5,87.33,71.05,39.34,3.01,3.16,2.54,3.75,2.69,91.5,96.06,92.85,88.1,92.34,5.49,0.78,4.61,8.15,4.97,1.83,0.99,1.74,2.46,0.92,"(84.98, 91.19]","(57.46, 71.45]","(29.04, 39.63]","(2.32, 3.14]","(3.6, 4.73]","(2.5, 3.24]","(3.44, 5.62]","(6.72, 9.89]","(4.4, 5.81]","(91.13, 92.98]","(84.42, 88.48]","(90.37, 92.34]"
2015,BOYACA,284611,83.62,83.57,63.02,80.65,74.22,48.61,2.22,1.8,1.39,3.19,2.32,93.27,97.91,95.64,89.72,93.39,4.51,0.29,2.97,7.09,4.29,2.27,0.37,1.46,3.68,2.07,"(76.77, 84.98]","(71.45, 76.16]","(44.75, 59.33]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(6.72, 9.89]","(2.23, 4.4]","(95.44, 99.06]","(88.48, 92.86]","(92.34, 94.78]"
2015,CALDAS,194108,78.9,78.86,52.47,74.53,69.24,43.55,3.67,3.66,2.7,5.07,3.1,88.13,95.55,90.65,82.79,90.57,8.2,0.8,6.65,12.14,6.34,2.18,0.26,1.55,3.58,1.65,"(51.119, 76.77]","(57.46, 71.45]","(39.63, 44.75]","(2.32, 3.14]","(4.73, 6.39]","(2.5, 3.24]","(5.62, 22.76]","(9.89, 23.19]","(5.81, 16.07]","(70.719, 91.13]","(65.649, 84.42]","(90.37, 92.34]"
2015,CAQUETA,124382,73.14,73.12,43.87,72.82,54.52,23.63,4.87,4.9,4.11,6.31,4.08,91.65,94.43,92.31,89.47,93.23,3.48,0.67,3.58,4.22,2.69,1.26,0.77,1.02,1.87,1.17,"(51.119, 76.77]","(24.058999999999997, 57.46]","(6.789, 29.04]","(4.07, 10.73]","(4.73, 6.39]","(3.24, 4.3]","(3.44, 5.62]","(2.54, 6.72]","(2.23, 4.4]","(91.13, 92.98]","(88.48, 92.86]","(92.34, 94.78]"
2015,CAUCA,312453,82.21,82.21,44.7,84.42,63.04,31.28,2.17,2.12,1.31,3.43,2.46,91.64,96.84,92.86,88.4,92.05,6.19,1.03,5.83,8.17,5.48,1.23,0.24,1.24,1.6,0.68,"(76.77, 84.98]","(57.46, 71.45]","(29.04, 39.63]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(5.62, 22.76]","(6.72, 9.89]","(4.4, 5.81]","(91.13, 92.98]","(84.42, 88.48]","(90.37, 92.34]"
2015,CESAR,260802,95.52,95.39,61.65,92.76,73.88,38.63,4.38,5.46,3.96,5.1,3.1,90.48,93.32,91.48,87.66,92.31,5.14,1.22,4.57,7.24,4.59,1.08,1.18,1.06,1.32,0.35,"(91.19, 102.1]","(71.45, 76.16]","(29.04, 39.63]","(3.14, 4.07]","(4.73, 6.39]","(2.5, 3.24]","(3.44, 5.62]","(6.72, 9.89]","(4.4, 5.81]","(91.13, 92.98]","(84.42, 88.48]","(90.37, 92.34]"
2015,CORDOBA,409982,89.54,89.5,52.58,87.47,72.18,38.97,2.26,2.83,1.78,2.9,2.05,94.51,96.54,95.55,92.51,94.32,3.23,0.62,2.67,4.59,3.63,1.79,0.79,1.95,2.05,1.1,"(84.98, 91.19]","(71.45, 76.16]","(29.04, 39.63]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(95.44, 99.06]","(88.48, 92.86]","(92.34, 94.78]"
